,ST,ST_conf,samples
omega,6.30817915611823,9.098967827479312,4
wave_heading,0.5610443310496627,1.952237612992657,4
wave_amplitude,0.0007351018472532041,0.07184396397948095,4
interest,0.02952535002094601,0.04017274918161044,4
n_avail,0.005450902639685505,0.009030486372643561,4
L,0.0005031306799810271,0.015855378933706237,4
array_scaling_factor,0.0004935391089761211,0.0006962552886933214,4
Fmax,0.11842729295957471,0.17000909785362583,4
omega,0.2494494877467122,0.9161796362647723,16
wave_heading,0.23644159320431113,0.33573126224042055,16
wave_amplitude,0.005677783554151916,0.0270115107297474,16
interest,0.02245116368145157,0.0697794285670776,16
n_avail,0.0006123113305622848,0.002683001112165379,16
L,0.006936915524044478,0.02652947028556677,16
array_scaling_factor,0.0003763248381845557,0.001098321873481719,16
Fmax,0.005972729155036136,0.019647973147601642,16
omega,0.02499850711904789,0.20134093142899237,256
wave_heading,2.3673972216366845,2.010986319515661,256
wave_amplitude,0.004182281058230876,0.023231129526390164,256
interest,0.003588190721330789,0.028519220399919627,256
n_avail,0.0007447990648858028,0.004260504850916426,256
L,0.0009148804820097458,0.008025586623426164,256
array_scaling_factor,9.84106773804491e-05,0.0009420453379298222,256
Fmax,1.8402391222313344e-07,7.696485493726576e-06,256
omega,0.9093474399046934,2.1969085576799787,1024
wave_heading,1.395865587083633,1.7573787551220275,1024
wave_amplitude,0.017157124879327176,0.04115549606163848,1024
interest,0.05982774937100564,0.03816706625736698,1024
n_avail,0.01865606105464554,0.012942080523845595,1024
L,0.00344120721351464,0.011194850308242599,1024
array_scaling_factor,0.006063130271793788,0.005244171718825931,1024
Fmax,9.58229551811535e-08,1.2067321823953877e-06,1024
